Date,VIX,VXX
1991-12-03,19.700000763,
1991-12-04,19.540000916,
1991-12-05,20.190000534,
1991-12-06,19.040000916,
1991-12-09,19.739999771,
1991-12-10,19.88999939,
1991-12-11,20.569999695,
1991-12-12,19.079999924,
1991-12-13,17.879999161,
1991-12-16,17.620000839,
1991-12-17,18.120000839,
1991-12-18,17.780000687,
1991-12-19,17.959999084,
1991-12-20,17.649999619,
1991-12-23,16.61000061,
1991-12-24,15.670000076,
1991-12-26,15.43999958,
1991-12-27,15.699999809,
1991-12-30,17.629999161,
1991-12-31,19.309999466,
1992-01-02,18.950000763,
1992-01-03,18.75,
1992-01-06,18.959999084,
1992-01-07,19.229999542,
1992-01-08,18.719999313,
1992-01-09,18.959999084,
1992-01-10,18.450000763,
1992-01-13,18.010000229,
1992-01-14,17.010000229,
1992-01-15,17.38999939,
1992-01-16,17.63999939,
1992-01-17,16.319999695,
1992-01-20,16.420000076,
1992-01-21,17.920000076,
1992-01-22,16.75,
1992-01-23,16.459999084,
1992-01-24,16.239999771,
1992-01-27,16.670000076,
1992-01-28,17.670000076,
1992-01-29,17.620000839,
1992-01-30,17.489999771,
1992-01-31,17.399999619,
1992-02-03,18.200000763,
1992-02-04,17.959999084,
1992-02-05,18.219999313,
1992-02-06,18.790000916,
1992-02-07,18.510000229,
1992-02-10,18.559999466,
1992-02-11,17.700000763,
1992-02-12,17.370000839,
1992-02-13,17.450000763,
1992-02-14,17.030000687,
1992-02-18,18.219999313,
1992-02-19,17.159999847,
1992-02-20,16.719999313,
1992-02-21,16.870000839,
1992-02-24,17.129999161,
1992-02-25,16.350000381,
1992-02-26,16.63999939,
1992-02-27,16.510000229,
1992-02-28,16.680000305,
1992-03-02,16.879999161,
1992-03-03,17.260000229,
1992-03-04,17.88999939,
1992-03-05,18.469999313,
1992-03-06,19.75,
1992-03-09,19.680000305,
1992-03-10,18.680000305,
1992-03-11,19.790000916,
1992-03-12,19.719999313,
1992-03-13,18.350000381,
1992-03-16,18.459999084,
1992-03-17,16.790000916,
1992-03-18,16.690000534,
1992-03-19,16.520000458,
1992-03-20,16.819999695,
1992-03-23,16.729999542,
1992-03-24,16.319999695,
1992-03-25,16.190000534,
1992-03-26,16.290000916,
1992-03-27,16.020000458,
1992-03-30,15.970000267,
1992-03-31,16.180000305,
1992-04-01,16.479999542,
1992-04-02,17.059999466,
1992-04-03,16.719999313,
1992-04-06,16.719999313,
1992-04-07,18.809999466,
