,0.2
2014-10-10,1.1016857272784704
2014-10-13,1.0688577182333039
2014-10-14,1.0862413382661094
2014-10-15,1.0545376437042755
2014-10-16,1.0690678074797413
2014-10-17,1.0815322751902674
2014-10-20,1.1072830436471783
2014-10-21,1.1330198927697883
2014-10-22,1.1389795081079046
2014-10-23,1.1490478352513998
2014-10-24,1.153697161752417
2014-10-27,1.153697161752417
2014-10-28,1.1707133440791488
2014-10-29,1.1617652166084802
2014-10-30,1.163903434798557
2014-10-31,1.1689482174880863
2014-11-03,1.1667286955561469
2014-11-04,1.1681916782464994
2014-11-05,1.176299002196475
2014-11-06,1.1824495852144958
2014-11-07,1.1840367658657904
2014-11-10,1.1968371633346098
2014-11-11,1.1951273959584174
2014-11-12,1.1900417474649774
2014-11-13,1.1850832401838733
2014-11-14,1.1907264937085584
2014-11-17,1.1907264937085584
2014-11-18,1.196534915629088
2014-11-19,1.1871335698634309
2014-11-20,1.1924948182434592
2014-11-21,1.195643319413739
2014-11-24,1.2020414107550834
2014-11-25,1.2036937013540594
2014-11-26,1.207858731462551
2014-11-28,1.1968008698364854
2014-12-01,1.1847119721613693
2014-12-02,1.2052166024487776
2014-12-03,1.2052166024487776
2014-12-04,1.2102911986696145
2014-12-05,1.2163643444693903
2014-12-08,1.1966878624265032
2014-12-09,1.193431568923302
2014-12-10,1.1533835296976878
2014-12-11,1.1308461503817557
2014-12-12,1.1249254899085528
2014-12-15,1.1249254899085528
2014-12-16,1.084749579554676
2014-12-17,1.075451726015636
2014-12-18,1.080935615836679
2014-12-19,1.0891054780493978
2014-12-22,1.090750652487539
2014-12-23,1.0973914479364737
2014-12-24,1.0932568490745467
2014-12-26,1.0986473296863164
2014-12-29,1.09517609009805
2014-12-30,1.0904070495812934
2014-12-31,1.0691631983870156
2015-01-02,1.0715358212960573
2015-01-05,1.0559061262869702
2015-01-06,1.0476245096102097
2015-01-07,1.0584301963760006
2015-01-08,1.071625479991298
2015-01-09,1.060105885015437
2015-01-12,1.0492913820273602
2015-01-13,1.0428589444363878
2015-01-14,1.0387236921164418
2015-01-15,1.029636437458801
2015-01-16,1.0377872264864143
2015-01-20,1.0423157525656277
2015-01-21,1.0341012194970807
2015-01-22,1.0450585834122814
2015-01-23,1.0392121018267582
2015-01-26,1.0522199267747938
2015-01-27,1.044278644308569
2015-01-28,1.0138996292014106
2015-01-29,1.0277649232759598
2015-01-30,1.006751643062192
2015-02-02,1.0168071886052625
2015-02-03,1.0280060662770103
2015-02-04,1.0182025647178123
2015-02-05,1.0295302291546224
2015-02-06,1.024017349748172
2015-02-09,1.019211010166564
2015-02-10,1.0301172171543336
2015-02-11,1.0317809327136676
2015-02-12,1.0491406119072217
2015-02-13,1.053803459071254
2015-02-17,1.057635471649695
2015-02-18,1.0518902913098693
2015-02-19,1.0548326417750717
2015-02-20,1.063211454248746
